# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
4.40881790e-05 9.99955914e-01 1.90641536e-01 2.90229259e-02 6.21775821e-01 1.00001905e+00
4.44963269e-05 9.99955506e-01 1.92406390e-01 2.98364454e-02 6.27531750e-01 1.00001922e+00
4.49082532e-05 9.99955094e-01 1.94187582e-01 3.06727679e-02 6.33340961e-01 1.00001940e+00
4.53239930e-05 9.99954678e-01 1.95985263e-01 3.15325327e-02 6.39203948e-01 1.00001958e+00
4.57435815e-05 9.99954259e-01 1.97799585e-01 3.24163968e-02 6.45121208e-01 1.00001976e+00
4.61670544e-05 9.99953835e-01 1.99630704e-01 3.33250357e-02 6.51093243e-01 1.00001994e+00
4.65944476e-05 9.99953408e-01 2.01478774e-01 3.42591439e-02 6.57120561e-01 1.00002013e+00
4.70257974e-05 9.99952976e-01 2.03343952e-01 3.52194352e-02 6.63203674e-01 1.00002032e+00
4.74611404e-05 9.99952541e-01 2.05226396e-01 3.62066437e-02 6.69343097e-01 1.00002050e+00
4.79005136e-05 9.99952102e-01 2.07126268e-01 3.72215237e-02 6.75539353e-01 1.00002069e+00
4.83439543e-05 9.99951658e-01 2.09043727e-01 3.82648509e-02 6.81792966e-01 1.00002089e+00
4.87915003e-05 9.99951211e-01 2.10978936e-01 3.93374227e-02 6.88104469e-01 1.00002108e+00
4.92431893e-05 9.99950759e-01 2.12932060e-01 4.04400588e-02 6.94474396e-01 1.00002127e+00
4.96990599e-05 9.99950303e-01 2.14903265e-01 4.15736019e-02 7.00903289e-01 1.00002147e+00
5.01591508e-05 9.99949843e-01 2.16892719e-01 4.27389183e-02 7.07391694e-01 1.00002167e+00
5.06235009e-05 9.99949379e-01 2.18900589e-01 4.39368987e-02 7.13940161e-01 1.00002187e+00
5.10921498e-05 9.99948910e-01 2.20927047e-01 4.51684586e-02 7.20549246e-01 1.00002207e+00
5.15651373e-05 9.99948438e-01 2.22972264e-01 4.64345392e-02 7.27219510e-01 1.00002228e+00
5.20425034e-05 9.99947960e-01 2.25036415e-01 4.77361081e-02 7.33951520e-01 1.00002248e+00
5.25242887e-05 9.99947478e-01 2.27119674e-01 4.90741602e-02 7.40745847e-01 1.00002269e+00
5.30105342e-05 9.99946992e-01 2.29222218e-01 5.04497179e-02 7.47603069e-01 1.00002290e+00
5.35012812e-05 9.99946502e-01 2.31344227e-01 5.18638326e-02 7.54523766e-01 1.00002311e+00
